
time,ax,ay,az,wx,wy,wz,
0.816,3.33,-2.94,-7.54,-0.19,-5.24,0.04,
0.817,3.12,-3.05,-7.27,-0.19,-5.24,0.04,
0.818,3.12,-3.05,-7.27,-0.19,-5.24,0.04,
0.825,3.12,-3.05,-7.27,-0.36,-5.26,-0.03,
0.826,3.12,-3.05,-7.27,-0.36,-5.26,-0.03,
0.827,3.03,-3.10,-6.89,-0.36,-5.26,-0.03,
0.827,3.03,-3.10,-6.89,-0.36,-5.26,-0.03,
0.836,3.03,-3.10,-6.89,-0.54,-5.10,0.02,
0.837,3.03,-3.10,-6.89,-0.54,-5.10,0.02,
0.837,2.98,-3.05,-6.42,-0.54,-5.10,0.02,
0.838,2.98,-3.05,-6.42,-0.54,-5.10,0.02,
0.844,2.98,-3.05,-6.42,-0.68,-4.76,0.16,
0.845,2.98,-3.05,-6.42,-0.68,-4.76,0.16,
0.845,2.88,-2.89,-5.88,-0.68,-4.76,0.16,
0.846,2.88,-2.89,-5.88,-0.68,-4.76,0.16,
0.854,2.88,-2.89,-5.88,-0.75,-4.26,0.35,
0.855,2.88,-2.89,-5.88,-0.75,-4.26,0.35,
0.855,2.73,-2.61,-5.30,-0.75,-4.26,0.35,
0.856,2.73,-2.61,-5.30,-0.75,-4.26,0.35,
0.863,2.73,-2.61,-5.30,-0.69,-3.61,0.55,
0.864,2.73,-2.61,-5.30,-0.69,-3.61,0.55,
0.864,2.55,-2.30,-4.79,-0.69,-3.61,0.55,
0.865,2.55,-2.30,-4.79,-0.69,-3.61,0.55,
0.873,2.55,-2.30,-4.79,-0.51,-2.85,0.69,
0.874,2.55,-2.30,-4.79,-0.51,-2.85,0.69,
0.875,2.38,-2.06,-4.49,-0.51,-2.85,0.69,
0.875,2.38,-2.06,-4.49,-0.51,-2.85,0.69,
0.883,2.38,-2.06,-4.49,-0.24,-2.04,0.77,
0.883,2.38,-2.06,-4.49,-0.24,-2.04,0.77,
0.884,2.21,-1.95,-4.46,-0.24,-2.04,0.77,
0.884,2.21,-1.95,-4.46,-0.24,-2.04,0.77,
0.892,2.21,-1.95,-4.46,0.04,-1.30,0.77,
0.892,2.21,-1.95,-4.46,0.04,-1.30,0.77,
0.893,2.01,-1.98,-4.72,0.04,-1.30,0.77,
0.894,2.01,-1.98,-4.72,0.04,-1.30,0.77,
0.901,2.01,-1.98,-4.72,0.28,-0.70,0.73,
0.903,2.01,-1.98,-4.72,0.28,-0.70,0.73,
0.904,1.84,-2.15,-5.21,0.28,-0.70,0.73,
0.905,1.84,-2.15,-5.21,0.28,-0.70,0.73,
0.911,1.84,-2.15,-5.21,0.42,-0.34,0.69,
0.912,1.84,-2.15,-5.21,0.42,-0.34,0.69,
0.913,1.76,-2.45,-6.52,0.42,-0.34,0.69,
0.914,1.76,-2.45,-6.52,0.42,-0.34,0.69,
0.921,1.76,-2.45,-6.52,0.45,-0.29,0.69,
0.922,1.76,-2.45,-6.52,0.45,-0.29,0.69,
0.923,1.86,-2.81,-6.77,0.45,-0.29,0.69,
0.923,1.86,-2.81,-6.77,0.45,-0.29,0.69,
0.93,1.86,-2.81,-6.77,0.45,-0.29,0.69,
0.93,1.86,-2.81,-6.77,0.45,-0.29,0.69,
0.931,1.86,-2.81,-6.77,0.45,-0.29,0.69,
0.931,1.86,-2.81,-6.77,0.45,-0.29,0.69,
0.939,1.86,-2.81,-6.77,0.36,-0.58,0.77,
0.94,1.86,-2.81,-6.77,0.36,-0.58,0.77,
0.941,3.64,-3.25,-7.80,0.36,-0.58,0.77,
0.941,3.64,-3.25,-7.80,0.36,-0.58,0.77,
0.95,3.64,-3.25,-7.80,0.15,-1.19,0.93,
0.951,3.64,-3.25,-7.80,0.15,-1.19,0.93,
0.951,5.22,-2.96,-8.18,0.15,-1.19,0.93,
0.951,5.22,-2.96,-8.18,0.15,-1.19,0.93,
0.958,5.22,-2.96,-8.18,-0.14,-2.07,1.14,
0.959,5.22,-2.96,-8.18,-0.14,-2.07,1.14,
0.96,5.26,-2.43,-8.34,-0.14,-2.07,1.14,
0.961,5.26,-2.43,-8.34,-0.14,-2.07,1.14,
0.968,5.26,-2.43,-8.34,-0.47,-3.02,1.31,
0.969,5.26,-2.43,-8.34,-0.47,-3.02,1.31,
0.97,5.43,-1.84,-8.17,-0.47,-3.02,1.31,
0.971,5.43,-1.84,-8.17,-0.47,-3.02,1.31,
0.978,5.43,-1.84,-8.17,-0.71,-3.79,1.33,
0.979,5.43,-1.84,-8.17,-0.71,-3.79,1.33,
0.979,5.52,-1.40,-7.69,-0.71,-3.79,1.33,
0.98,5.52,-1.40,-7.69,-0.71,-3.79,1.33,
0.987,5.52,-1.40,-7.69,-0.80,-4.22,1.17,
0.988,5.52,-1.40,-7.69,-0.80,-4.22,1.17,
0.989,5.42,-1.17,-7.02,-0.80,-4.22,1.17,
0.99,5.42,-1.17,-7.02,-0.80,-4.22,1.17,
0.997,5.42,-1.17,-7.02,-0.73,-4.27,0.88,
0.998,5.42,-1.17,-7.02,-0.73,-4.27,0.88,
0.999,5.09,-1.07,-6.27,-0.73,-4.27,0.88,
0.999,5.09,-1.07,-6.27,-0.73,-4.27,0.88,
1.006,5.09,-1.07,-6.27,-0.54,-4.00,0.56,
1.007,5.09,-1.07,-6.27,-0.54,-4.00,0.56,
1.008,4.57,-1.00,-5.59,-0.54,-4.00,0.56,
1.009,4.57,-1.00,-5.59,-0.54,-4.00,0.56,
1.016,4.57,-1.00,-5.59,-0.30,-3.50,0.28,
1.017,4.57,-1.00,-5.59,-0.30,-3.50,0.28,
1.018,3.81,-0.89,-5.11,-0.30,-3.50,0.28,
1.018,3.81,-0.89,-5.11,-0.30,-3.50,0.28,
1.025,3.81,-0.89,-5.11,-0.07,-2.87,0.07,
1.026,3.81,-0.89,-5.11,-0.07,-2.87,0.07,
