time,ax,ay,az,wx,wy,wz
5.977,-1.9,1.15,-1.75,-0.02,-1.53,1.56
5.977,-1.9,1.15,-1.75,-0.02,-1.53,1.56
5.986,-1.9,1.15,-1.75,-0.01,-1.83,1.46
5.987,-1.9,1.15,-1.75,-0.01,-1.83,1.46
5.987,-1.5,0.84,-2.17,-0.01,-1.83,1.46
5.988,-1.5,0.84,-2.17,-0.01,-1.83,1.46
5.995,-1.5,0.84,-2.17,-0.02,-1.95,1.24
5.996,-1.5,0.84,-2.17,-0.02,-1.95,1.24
5.997,0.24,0.47,-2.67,-0.02,-1.95,1.24
5.997,0.24,0.47,-2.67,-0.02,-1.95,1.24
6.005,0.24,0.47,-2.67,0.26,-1.88,1.01
6.007,0.24,0.47,-2.67,0.26,-1.88,1.01
6.007,0.48,0,-2.92,0.26,-1.88,1.01
6.008,0.48,0,-2.92,0.26,-1.88,1.01
6.016,0.48,0,-2.92,0.35,-1.61,0.61
6.017,0.48,0,-2.92,0.35,-1.61,0.61
6.018,0.84,-0.46,-2.78,0.35,-1.61,0.61
6.018,0.84,-0.46,-2.78,0.35,-1.61,0.61
6.024,0.84,-0.46,-2.78,0.3,-1.24,0.01
6.025,0.84,-0.46,-2.78,0.3,-1.24,0.01
6.026,1.05,-0.69,-2.48,0.3,-1.24,0.01
6.026,1.05,-0.69,-2.48,0.3,-1.24,0.01
6.034,1.05,-0.69,-2.48,0.3,-1.24,0.01
6.035,1.05,-0.69,-2.48,0.3,-1.24,0.01
6.035,1.05,-0.69,-2.48,0.3,-1.24,0.01
6.036,1.05,-0.69,-2.48,0.3,-1.24,0.01
6.043,1.05,-0.69,-2.48,0.19,-0.89,-0.66
6.044,1.05,-0.69,-2.48,0.19,-0.89,-0.66
6.045,0.7,0,-2.3,0.19,-0.89,-0.66
6.045,0.7,0,-2.3,0.19,-0.89,-0.66
6.055,0.7,0,-2.3,0.12,-0.64,-1.21
6.056,0.7,0,-2.3,0.12,-0.64,-1.21
6.057,0.4,1.66,-2.28,0.12,-0.64,-1.21
6.058,0.4,1.66,-2.28,0.12,-0.64,-1.21
6.062,0.4,1.66,-2.28,0.05,-0.49,-1.58
6.064,0.4,1.66,-2.28,0.05,-0.49,-1.58
6.065,0.29,2.06,-2.07,0.05,-0.49,-1.58
6.066,0.29,2.06,-2.07,0.05,-0.49,-1.58
6.072,0.29,2.06,-2.07,-0.06,-0.36,-1.73
6.073,0.29,2.06,-2.07,-0.06,-0.36,-1.73
6.073,0.44,2.46,-1.63,-0.06,-0.36,-1.73
6.074,0.44,2.46,-1.63,-0.06,-0.36,-1.73
6.082,0.44,2.46,-1.63,-0.25,-0.22,-1.73
6.083,0.44,2.46,-1.63,-0.25,-0.22,-1.73
6.083,0.82,2.69,-1.12,-0.25,-0.22,-1.73
6.084,0.82,2.69,-1.12,-0.25,-0.22,-1.73
6.104,0.82,2.69,-1.12,-0.46,-0.15,-1.69
6.105,0.82,2.69,-1.12,-0.46,-0.15,-1.69
6.106,1.25,2.67,-0.79,-0.46,-0.15,-1.69
6.106,1.25,2.67,-0.79,-0.46,-0.15,-1.69
6.107,1.25,2.67,-0.79,-0.46,-0.15,-1.69
6.108,1.25,2.67,-0.79,-0.46,-0.15,-1.69
6.108,1.25,2.67,-0.79,-0.46,-0.15,-1.69
6.109,1.25,2.67,-0.79,-0.46,-0.15,-1.69
6.109,1.25,2.67,-0.79,-0.65,-0.11,-1.84
6.11,1.25,2.67,-0.79,-0.65,-0.11,-1.84
6.111,1.93,2.11,-1.03,-0.65,-0.11,-1.84
6.111,1.93,2.11,-1.03,-0.65,-0.11,-1.84
6.119,1.93,2.11,-1.03,-0.63,-0.08,-2.1
6.12,1.93,2.11,-1.03,-0.63,-0.08,-2.1
6.121,2.15,1.74,-1.28,-0.63,-0.08,-2.1
6.121,2.15,1.74,-1.28,-0.63,-0.08,-2.1
6.129,2.15,1.74,-1.28,-0.58,-0.05,-2.39
6.13,2.15,1.74,-1.28,-0.58,-0.05,-2.39
6.131,2.28,1.43,-1.45,-0.58,-0.05,-2.39
6.131,2.28,1.43,-1.45,-0.58,-0.05,-2.39
6.138,2.28,1.43,-1.45,-0.54,-0.03,-2.62
6.139,2.28,1.43,-1.45,-0.54,-0.03,-2.62
6.14,2.35,1.21,-1.45,-0.54,-0.03,-2.62
6.141,2.35,1.21,-1.45,-0.54,-0.03,-2.62
6.153,2.35,1.21,-1.45,-0.51,-0.01,-2.74
6.154,2.35,1.21,-1.45,-0.51,-0.01,-2.74
6.154,2.31,1.13,-1.38,-0.51,-0.01,-2.74
6.155,2.31,1.13,-1.38,-0.51,-0.01,-2.74
6.157,2.31,1.13,-1.38,-0.49,-0.02,-2.76
6.158,2.31,1.13,-1.38,-0.49,-0.02,-2.76
